unique_identifier,Club_Name,Postal_Code,Address,Age,Category,Activity,Website
803,Turun Toverit,20300,Raunistulantie 15,8,Sports,Sports,http://www.tuto.fi/
252,Turun Voimamiehet,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunvoimamiehet.fi/
253,Turun Atleettiklubi,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
537,Pallo-kotkat,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
804,RC Gold Boys,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
155,Turun Kaiku,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
831,Turun Pallas,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
299,Turun Pyrkivä,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunpyrkiva.fi/
312,Turun Toverit,20300,Raunistulantie 15,8,Sports,Sports,http://www.tuto.fi/
893,Pyrkivä Gymnastics,20300,Raunistulantie 15,8,Sports,Sports,https://www.pyrkivagymnastics.fi/
248,Turun Urheiluliitto,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
473,VIMMA,20100,Aurakatu 16,8,Art,drawing,https://ark-lpr.fi/en/projekti/vimma-turku/
480,GoBabyGo,20810,Hopeasepänkuja 2,8,Sports,Sports,https://liikutaanilosta.fi/
829,FC TPS,20520,Lemminkäisenkatu 14-18 B,8,Sports,Football,https://fc.tps.fi/juniorit/
998,HC TPS,20210,Artukaistentie 8,8,Sports,Hocky,https://www.tps-juniorit.net/
258,Inter Aciton,20740,Lauklähteenkatu 13,8,Sports,Football,https://fcinter.fi/interaction/ilpoisten-perhetapahtumat/
479,Tehoharjoittelu,20700,Turku Energia Areena,8,Sports,Sports,https://fcinter.fi/juniorit/tehoharjoittelu/
385,Vimma Art and Activity Centre for Youth,20100,Aurakatu 16,8,Handcraft,Handmade,https://www.turku.fi/vimma
282,Adventure Park Seikkailupuisto,20520,Kupittaankatu 2,8,Handcraft,Handmade,https://www.turku.fi/seikkailupuisto
403,Aunelan nuorisotila,20210,Opintie 1,8,Sports,Indoor activities,https://www.turku.fi/toimipaikat/aunelan-monitoimitalo
529,Auran Panimon bändi- ja studiotila,20100,Läntinen Rantakatu 53,8,Art,Music,https://www.turku.fi/toimipaikat/auran-panimon-bandi-ja-studiotila
918,Halisten nuorisotila,20540,Gregorius IX:n tie 8,8,Sports,Sports,https://www.turku.fi/toimipaikat/halisten-nuorisotila
388,Hansan nuorisotila,20100,Yliopistonkatu 20,8,Sports,Youth activities,https://www.turku.fi/toimipaikat/hansan-nuorisotila
437,Maarian nuorisotila,20460,Arkeologinkatu 4,8,Sports,Indoor activities,https://www.turku.fi/toimipaikat/maarian-nuorisotila
890,Nuorisotila Pastell,20100,Humalistonkatu 7 B,8,Sports,Indoor activities,https://www.turku.fi/places/youth-center-pastell
659,Paattisten nuorisotila,21330,Paattistalonkatu 1,8,Sports,Indoor activities,https://www.turku.fi/places/paattinen-youth-centre
428,Pansion nuorisotila,20240,Pernontie 16 rakennus B,8,Sports,Indoor activities,https://www.turku.fi/places/pansio-youth-centre
799,Runosmäen nuorisotila,20360,Piiparinpolku 13,8,Sports,Indoor activities,https://www.turku.fi/places/runosmaki-youth-centre
978,Skanssin nuorisotila,20730,Skanssinkatu 10,8,Sports,Indoor activities,https://www.turku.fi/places/skanssi-youth-centre
477,Syvälahden monitoimitalo,20900,Vanha Kakskerrantie 8,8,Sports,Sports,https://www.turku.fi/toimipaikat/syvalahden-monitoimitalo
482,Teräsrautelan nuorisotila,20320,Antreksenkuja 1,8,Sports,Indoor activities,https://www.turku.fi/places/terasrautela-youth-centre
103,Turku Game Academy,20210,Opintie 1,8,Science,Game,https://www.turku.fi/toimipaikat/turku-game-academy-pelitila-nexus
293,Varissuon nuorisotila,20610,Kraatarinkatu 4,8,Sports,Indoor activities,https://www.turku.fi/places/varissuo-youth-centre
459,Yli-Maarian monitoimitalo Ypsilon / Yli-Maarian koulu ja päiväkoti,20400,Kukkamaariankatu 44,8,Sports,Indoor activities,https://www.turku.fi/toimipaikat/yli-maarian-monitoimitalo-ypsilon-yli-maarian-koulu
814,Skeittihalli Cube,20200,Ruissalontie 37–39 G-rakennus,8,Sports,Sports,https://www.turku.fi/kulttu
